Data Source in SDW: https://sdw.ecb.europa.eu/browseChart.do?org.apache.struts.taglib.html.TOKEN=11e17fab341fef3afce992c8a0ca4c6a&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691573&legendRef=reference&legendPub=published&legendNor=&SERIES_KEY=117.BSI.M.U2.Y.V.M20.X.I.U2.2300.Z01.A
,BSI.M.U2.Y.V.M20.X.I.U2.2300.Z01.A
,"Euro area (changing composition), Index of Notional Stocks, MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M2, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, Annual growth rate, data Working day and seasonally adjusted"
Collection:,End of period (E)
Period\Unit:,[Percentage change ]
2021Nov,7.0
2021Oct,7.5
2021Sep,7.6
2021Aug,7.8
2021Jul,7.6
2021Jun,8.3
2021May,8.4
2021Apr,9.2
2021Mar,10.2
2021Feb,12.1
2021Jan,12.2
2020Dec,11.7
2020Nov,10.8
2020Oct,10.4
2020Sep,10.3
2020Aug,9.6
2020Jul,10.1
2020Jun,9.3
2020May,9.1
2020Apr,8.3
2020Mar,7.4
2020Feb,5.7
2020Jan,5.6
2019Dec,5.7
2019Nov,6.0
2019Oct,6.0
2019Sep,6.0
2019Aug,6.2
2019Jul,5.5
2019Jun,5.0
2019May,5.3
2019Apr,5.4
2019Mar,5.1
2019Feb,4.5
2019Jan,4.1
2018Dec,4.4
2018Nov,4.3
2018Oct,4.3
2018Sep,4.2
2018Aug,4.0
2018Jul,4.4
2018Jun,4.7
2018May,4.6
2018Apr,4.2
2018Mar,4.3
2018Feb,4.8
2018Jan,5.2
2017Dec,5.2
2017Nov,5.2
2017Oct,5.4
2017Sep,5.2
2017Aug,5.3
2017Jul,5.0
2017Jun,5.3
2017May,5.0
2017Apr,5.1
2017Mar,5.1
2017Feb,4.7
2017Jan,4.8
2016Dec,4.8
2016Nov,4.8
2016Oct,4.7
2016Sep,5.0
2016Aug,5.0
2016Jul,5.0
2016Jun,5.0
2016May,5.1
2016Apr,5.2
2016Mar,5.5
2016Feb,5.6
2016Jan,5.5
2015Dec,5.3
2015Nov,5.1
2015Oct,5.3
2015Sep,4.9
2015Aug,5.1
2015Jul,5.2
2015Jun,4.9
2015May,4.8
2015Apr,4.8
2015Mar,4.3
2015Feb,4.0
2015Jan,3.9
2014Dec,3.7
2014Nov,3.3
2014Oct,2.7
2014Sep,2.8
2014Aug,2.6
2014Jul,2.5
2014Jun,2.5
2014May,2.2
2014Apr,1.9
2014Mar,2.3
2014Feb,2.4
2014Jan,2.4
2013Dec,2.5
2013Nov,3.1
2013Oct,3.2
2013Sep,3.8
2013Aug,4.0
2013Jul,3.9
2013Jun,4.2
2013May,4.6
2013Apr,4.7
2013Mar,4.1
2013Feb,4.2
2013Jan,4.4
2012Dec,4.6
2012Nov,4.4
2012Oct,4.2
2012Sep,3.2
2012Aug,3.0
2012Jul,3.4
2012Jun,3.0
2012May,2.8
2012Apr,2.6
2012Mar,2.9
2012Feb,2.6
2012Jan,2.2
2011Dec,1.9
2011Nov,2.0
2011Oct,2.0
2011Sep,2.4
2011Aug,2.3
2011Jul,2.2
2011Jun,2.4
2011May,2.4
2011Apr,2.3
2011Mar,2.6
2011Feb,2.5
2011Jan,2.4
2010Dec,2.3
2010Nov,2.3
2010Oct,2.0
2010Sep,1.9
2010Aug,1.9
2010Jul,1.4
2010Jun,1.5
2010May,1.4
2010Apr,1.4
2010Mar,1.7
2010Feb,1.6
2010Jan,1.9
2009Dec,1.6
2009Nov,1.7
2009Oct,2.2
