Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691574
,BSI.M.U2.Y.V.M30.X.I.U2.2300.Z01.A
,"Euro area (changing composition), Index of Notional Stocks, MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M3, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, Annual growth rate, data Working day and seasonally adjusted"
Collection:,End of period (E)
Period\Unit:,[Percentage change ]
2021Nov,7.3
2021Oct,7.7
2021Sep,7.6
2021Aug,8.0
2021Jul,7.8
2021Jun,8.4
2021May,8.6
2021Apr,9.4
2021Mar,10.1
2021Feb,12.3
2021Jan,12.5
2020Dec,12.2
2020Nov,10.9
2020Oct,10.4
2020Sep,10.3
2020Aug,9.5
2020Jul,10.0
2020Jun,9.2
2020May,8.9
2020Apr,8.1
2020Mar,7.5
2020Feb,5.5
2020Jan,5.2
2019Dec,4.9
2019Nov,5.6
2019Oct,5.7
2019Sep,5.7
2019Aug,5.8
2019Jul,5.2
2019Jun,4.6
2019May,4.9
2019Apr,4.8
2019Mar,4.7
2019Feb,4.3
2019Jan,3.8
2018Dec,4.2
2018Nov,3.8
2018Oct,3.8
2018Sep,3.5
2018Aug,3.5
2018Jul,4.0
2018Jun,4.3
2018May,4.0
2018Apr,3.9
2018Mar,3.6
2018Feb,4.2
2018Jan,4.6
2017Dec,4.6
2017Nov,4.9
2017Oct,5.0
2017Sep,5.1
2017Aug,5.1
2017Jul,4.6
2017Jun,5.0
2017May,4.9
2017Apr,4.9
2017Mar,5.3
2017Feb,4.7
2017Jan,4.9
2016Dec,5.0
2016Nov,4.7
2016Oct,4.5
2016Sep,5.0
2016Aug,4.9
2016Jul,5.0
2016Jun,5.1
2016May,5.0
2016Apr,4.7
2016Mar,5.1
2016Feb,5.2
2016Jan,5.1
2015Dec,4.7
2015Nov,4.9
2015Oct,5.2
2015Sep,4.6
2015Aug,4.8
2015Jul,4.9
2015Jun,4.6
2015May,4.7
2015Apr,5.2
2015Mar,4.3
2015Feb,4.0
2015Jan,3.7
2014Dec,3.8
2014Nov,3.1
2014Oct,2.5
2014Sep,2.4
2014Aug,2.0
2014Jul,1.9
2014Jun,1.7
2014May,1.2
2014Apr,0.8
2014Mar,1.1
2014Feb,1.3
2014Jan,1.1
2013Dec,1.0
2013Nov,1.5
2013Oct,1.5
2013Sep,2.0
2013Aug,2.3
2013Jul,2.0
2013Jun,2.3
2013May,2.8
2013Apr,3.1
2013Mar,2.5
2013Feb,3.0
2013Jan,3.4
2012Dec,3.6
2012Nov,3.7
2012Oct,3.7
2012Sep,2.8
2012Aug,2.8
2012Jul,3.5
2012Jun,3.1
2012May,2.9
2012Apr,2.5
2012Mar,2.9
2012Feb,2.3
2012Jan,1.9
2011Dec,1.6
2011Nov,1.4
2011Oct,1.4
2011Sep,1.7
2011Aug,1.7
2011Jul,1.3
2011Jun,1.3
2011May,1.5
2011Apr,1.5
2011Mar,1.8
2011Feb,1.6
2011Jan,1.4
2010Dec,1.2
2010Nov,1.4
2010Oct,1.0
2010Sep,0.7
2010Aug,0.9
2010Jul,0.1
2010Jun,0.1
2010May,-0.1
2010Apr,-0.2
2010Mar,-0.1
2010Feb,-0.4
2010Jan,0.1
2009Dec,-0.3
2009Nov,-0.2
2009Oct,0.3
2009Sep,1.8
2009Aug,2.2
2009Jul,3.0
2009Jun,3.6
2009May,3.9
2009Apr,4.8
2009Mar,5.1
2009Feb,5.7
2009Jan,6.0
2008Dec,7.7
2008Nov,7.7
2008Oct,8.6
2008Sep,8.5
2008Aug,8.8
2008Jul,9.2
2008Jun,9.6
2008May,10.3
2008Apr,10.6
2008Mar,10.1
2008Feb,11.5
2008Jan,11.6
2007Dec,11.5
2007Nov,12.6
2007Oct,12.5
2007Sep,11.5
2007Aug,11.6
2007Jul,11.9
2007Jun,11.0
2007May,10.6
2007Apr,10.2
2007Mar,11.0
2007Feb,10.3
2007Jan,10.3
2006Dec,10.0
2006Nov,9.2
2006Oct,8.5
2006Sep,8.4
2006Aug,8.0
2006Jul,7.7
2006Jun,8.5
2006May,8.9
2006Apr,8.9
2006Mar,8.4
2006Feb,7.8
2006Jan,7.5
2005Dec,7.3
2005Nov,7.6
2005Oct,7.8
2005Sep,8.4
2005Aug,8.2
2005Jul,8.0
2005Jun,7.5
2005May,7.3
2005Apr,6.8
2005Mar,6.4
2005Feb,6.6
2005Jan,6.8
2004Dec,6.6
2004Nov,5.9
2004Oct,5.8
2004Sep,5.9
2004Aug,5.4
2004Jul,5.4
2004Jun,5.4
2004May,4.9
2004Apr,5.4
2004Mar,6.3
2004Feb,6.2
2004Jan,6.4
2003Dec,7.2
2003Nov,7.4
2003Oct,8.1
2003Sep,7.6
2003Aug,8.4
2003Jul,8.8
2003Jun,8.6
2003May,8.7
2003Apr,9.0
2003Mar,8.2
2003Feb,8.3
2003Jan,7.5
2002Dec,7.0
2002Nov,7.1
2002Oct,6.8
2002Sep,7.2
2002Aug,7.0
2002Jul,7.0
2002Jun,7.1
2002May,7.8
2002Apr,7.3
2002Mar,7.3
2002Feb,7.4
2002Jan,7.8
2001Dec,8.0
2001Nov,7.9
2001Oct,7.3
2001Sep,6.8
2001Aug,6.0
2001Jul,5.7
2001Jun,5.4
2001May,4.4
2001Apr,3.9
2001Mar,3.7
2001Feb,3.8
2001Jan,3.8
2000Dec,4.0
2000Nov,3.7
2000Oct,4.1
2000Sep,4.3
2000Aug,4.5
2000Jul,4.2
2000Jun,4.7
2000May,5.4
2000Apr,5.8
2000Mar,6.0
2000Feb,5.8
2000Jan,5.0
1999Dec,5.8
1999Nov,5.8
1999Oct,5.3
1999Sep,5.8
1999Aug,5.8
1999Jul,5.8
1999Jun,5.6
1999May,5.6
1999Apr,5.5
1999Mar,5.6
1999Feb,5.5
1999Jan,6.1
1998Dec,5.0
1998Nov,5.0
1998Oct,5.0
1998Sep,4.8
1998Aug,5.1
1998Jul,5.0
1998Jun,5.1
1998May,5.0
1998Apr,5.4
1998Mar,4.8
1998Feb,4.7
1998Jan,4.8
1997Dec,4.2
1997Nov,4.6
1997Oct,4.7
1997Sep,4.2
1997Aug,4.1
1997Jul,4.6
1997Jun,4.4
1997May,4.0
1997Apr,3.5
1997Mar,3.6
1997Feb,3.8
1997Jan,3.8
1996Dec,4.2
1996Nov,4.6
1996Oct,4.9
1996Sep,5.2
1996Aug,5.3
1996Jul,5.5
1996Jun,5.2
1996May,5.6
1996Apr,6.0
1996Mar,6.0
1996Feb,5.5
1996Jan,5.7
1995Dec,5.7
1995Nov,4.5
1995Oct,4.2
1995Sep,4.2
1995Aug,3.5
1995Jul,2.8
1995Jun,3.1
1995May,2.8
1995Apr,2.2
1995Mar,2.2
1995Feb,2.7
1995Jan,2.4
1994Dec,2.3
1994Nov,3.2
1994Oct,3.7
1994Sep,4.0
1994Aug,4.4
1994Jul,4.9
1994Jun,4.7
1994May,4.7
1994Apr,5.3
1994Mar,5.3
1994Feb,6.2
1994Jan,6.5
1993Dec,6.6
1993Nov,6.0
1993Oct,6.1
1993Sep,5.5
1993Aug,6.6
1993Jul,6.6
1993Jun,7.1
1993May,7.3
1993Apr,7.6
1993Mar,8.4
1993Feb,7.7
1993Jan,7.7
1992Dec,7.4
1992Nov,8.1
1992Oct,8.2
1992Sep,8.7
1992Aug,7.7
1992Jul,8.1
1992Jun,8.2
1992May,8.2
1992Apr,8.0
1992Mar,7.5
1992Feb,7.0
1992Jan,7.3
1991Dec,7.8
1991Nov,7.8
1991Oct,7.6
1991Sep,7.7
1991Aug,8.0
1991Jul,7.9
1991Jun,7.8
1991May,8.1
1991Apr,8.1
1991Mar,8.0
1991Feb,8.1
1991Jan,7.8
1990Dec,8.3
1990Nov,8.6
1990Oct,8.6
1990Sep,8.6
1990Aug,8.3
1990Jul,8.3
1990Jun,8.6
1990May,8.9
1990Apr,9.2
1990Mar,9.1
1990Feb,10.2
1990Jan,10.4
1989Dec,10.0
1989Nov,9.3
1989Oct,9.2
1989Sep,9.5
1989Aug,9.5
1989Jul,9.7
1989Jun,9.6
1989May,8.9
1989Apr,8.8
1989Mar,9.6
1989Feb,8.9
1989Jan,8.6
1988Dec,8.5
1988Nov,8.4
1988Oct,8.3
1988Sep,8.3
1988Aug,8.3
1988Jul,8.1
1988Jun,8.0
1988May,8.1
1988Apr,8.0
1988Mar,7.7
1988Feb,7.8
1988Jan,7.9
1987Dec,8.1
1987Nov,8.2
1987Oct,8.0
1987Sep,8.2
1987Aug,8.3
1987Jul,8.2
1987Jun,8.2
1987May,8.1
1987Apr,7.9
1987Mar,7.0
1987Feb,7.3
1987Jan,7.1
1986Dec,6.9
1986Nov,7.2
1986Oct,7.2
1986Sep,6.7
1986Aug,6.4
1986Jul,6.2
1986Jun,6.1
1986May,6.1
1986Apr,5.9
1986Mar,6.6
1986Feb,6.2
1986Jan,6.8
1985Dec,7.3
1985Nov,7.3
1985Oct,7.7
1985Sep,7.6
1985Aug,7.9
1985Jul,8.4
1985Jun,8.6
1985May,8.7
1985Apr,9.4
1985Mar,9.5
1985Feb,9.4
1985Jan,8.8
1984Dec,8.4
1984Nov,8.4
1984Oct,8.6
1984Sep,9.1
1984Aug,8.6
1984Jul,8.4
1984Jun,8.4
1984May,8.7
1984Apr,8.4
1984Mar,8.5
1984Feb,8.4
1984Jan,8.6
1983Dec,8.8
1983Nov,9.2
1983Oct,9.2
1983Sep,8.9
1983Aug,9.3
1983Jul,9.6
1983Jun,9.6
1983May,10.3
1983Apr,10.1
1983Mar,10.2
1983Feb,10.9
1983Jan,11.2
1982Dec,11.7
1982Nov,11.3
1982Oct,11.2
1982Sep,11.4
1982Aug,11.7
1982Jul,10.9
1982Jun,10.8
1982May,10.1
1982Apr,10.7
1982Mar,10.7
1982Feb,10.5
1982Jan,10.7
1981Dec,10.4
1981Nov,10.1
1981Oct,10.7
1981Sep,11.1
1981Aug,10.6
1981Jul,10.8
1981Jun,11.2
1981May,11.2
1981Apr,10.8
1981Mar,10.4
1981Feb,10.5
1981Jan,10.2
