Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691107
,FM.B.U2.EUR.4F.KR.DFR.LEV,FM.B.U2.EUR.4F.KR.MLFR.LEV,FM.B.U2.EUR.4F.KR.MRR_FR.LEV,FM.B.U2.EUR.4F.KR.MRR_MBR.LEV
,ECB Deposit facility - date of changes (raw data),ECB Marginal lending facility - date of changes (raw data),ECB Main refinancing operations - fixed rate tenders (fixed rate) (date of changes),ECB Main refinancing operations - variable rate tenders (minimun bid rate) (date of changes)
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2019-09-18,-0.5000,0.2500,0.0000,
2016-03-16,-0.4000,0.2500,0.0000,
2015-12-09,-0.3000,0.3000,0.0500,
2014-09-10,-0.2000,0.3000,0.0500,
2014-06-11,-0.1000,0.4000,0.1500,
2013-11-13,0.0000,0.7500,0.2500,
2013-05-08,0.0000,1.0000,0.5000,
2012-07-11,0.0000,1.5000,0.7500,
2011-12-14,0.2500,1.7500,1.0000,
2011-11-09,0.5000,2.0000,1.2500,
2011-07-13,0.7500,2.2500,1.5000,
2011-04-13,0.5000,2.0000,1.2500,
2009-05-13,0.2500,1.7500,1.0000,
2009-04-08,0.2500,2.2500,1.2500,
2009-03-11,0.5000,2.5000,1.5000,
2009-01-21,1.0000,3.0000,2.0000,
2008-12-10,2.0000,3.0000,2.5000,
2008-11-12,2.7500,3.7500,3.2500,
2008-10-15,3.2500,4.2500,3.7500,-
2008-10-09,3.2500,4.2500,,
2008-10-08,2.7500,4.7500,,4.2500
2008-07-09,3.2500,5.2500,,4.2500
2007-06-13,3.0000,5.0000,,4.0000
2007-03-14,2.7500,4.7500,,3.7500
2006-12-13,2.5000,4.5000,,3.5000
2006-10-11,2.2500,4.2500,,3.2500
2006-08-09,2.0000,4.0000,,3.0000
2006-06-15,1.7500,3.7500,,2.7500
2006-03-08,1.5000,3.5000,,2.5000
2005-12-06,1.2500,3.2500,,2.2500
2003-06-06,1.0000,3.0000,,2.0000
2003-03-07,1.5000,3.5000,,2.5000
2002-12-06,1.7500,3.7500,,2.7500
2001-11-09,2.2500,4.2500,,3.2500
2001-09-18,2.7500,4.7500,,3.7500
2001-08-31,3.2500,5.2500,,4.2500
2001-05-11,3.5000,5.5000,,4.5000
2000-10-06,3.7500,5.7500,,4.7500
2000-09-01,3.5000,5.5000,,4.5000
2000-06-28,3.2500,5.2500,,4.2500
2000-06-09,3.2500,5.2500,4.2500,
2000-04-28,2.7500,4.7500,3.7500,
2000-03-17,2.5000,4.5000,3.5000,
2000-02-04,2.2500,4.2500,3.2500,
1999-11-05,2.0000,4.0000,3.0000,
1999-04-09,1.5000,3.5000,2.5000,
1999-01-22,2.0000,4.5000,3.0000,
1999-01-04,2.7500,3.2500,3.0000,
1999-01-01,2.0000,4.5000,3.0000,
