Data Source in SDW: https://sdw.ecb.europa.eu/browseChart.do?org.apache.struts.taglib.html.TOKEN=3ec3d0940c4d5eb15a5d0c1b2d274fab&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691572&legendRef=reference&legendPub=published&legendNor=&SERIES_KEY=117.BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A
,BSI.M.U2.Y.V.M10.X.I.U2.2300.Z01.A
,"Euro area (changing composition), Index of Notional Stocks, MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M1, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, Annual growth rate, data Working day and seasonally adjusted"
Collection:,End of period (E)
Period\Unit:,[Percentage change ]
2021Nov,9.9
2021Oct,10.7
2021Sep,11.1
2021Aug,11.0
2021Jul,11.0
2021Jun,11.8
2021May,11.7
2021Apr,12.4
2021Mar,13.7
2021Feb,16.4
2021Jan,16.4
2020Dec,15.6
2020Nov,14.5
2020Oct,13.9
2020Sep,13.8
2020Aug,13.3
2020Jul,13.6
2020Jun,12.8
2020May,12.6
2020Apr,11.8
2020Mar,10.5
2020Feb,8.2
2020Jan,8.0
2019Dec,8.0
2019Nov,8.3
2019Oct,8.4
2019Sep,8.0
2019Aug,8.4
2019Jul,7.8
2019Jun,7.2
2019May,7.2
2019Apr,7.4
2019Mar,7.4
2019Feb,6.6
2019Jan,6.2
2018Dec,6.7
2018Nov,6.7
2018Oct,6.8
2018Sep,6.8
2018Aug,6.5
2018Jul,7.0
2018Jun,7.4
2018May,7.5
2018Apr,7.2
2018Mar,7.4
2018Feb,8.3
2018Jan,8.8
2017Dec,8.8
2017Nov,9.1
2017Oct,9.5
2017Sep,9.7
2017Aug,9.6
2017Jul,9.4
2017Jun,9.7
2017May,9.1
2017Apr,9.2
2017Mar,9.1
2017Feb,8.4
2017Jan,8.5
2016Dec,8.8
2016Nov,8.4
2016Oct,8.1
2016Sep,8.4
2016Aug,8.5
2016Jul,8.5
2016Jun,8.6
2016May,9.2
2016Apr,9.7
2016Mar,10.1
2016Feb,10.5
2016Jan,10.5
2015Dec,10.6
2015Nov,11.0
2015Oct,11.4
2015Sep,11.1
2015Aug,11.5
2015Jul,11.7
2015Jun,11.2
2015May,10.9
2015Apr,10.4
2015Mar,9.4
2015Feb,9.0
2015Jan,8.8
2014Dec,8.0
2014Nov,6.9
2014Oct,6.0
2014Sep,6.0
2014Aug,5.8
2014Jul,5.7
2014Jun,5.7
2014May,5.1
2014Apr,5.1
2014Mar,5.9
2014Feb,5.9
2014Jan,5.9
2013Dec,5.7
2013Nov,6.6
2013Oct,6.7
2013Sep,6.9
2013Aug,6.8
2013Jul,6.8
2013Jun,7.5
2013May,8.0
2013Apr,8.4
2013Mar,6.9
2013Feb,7.0
2013Jan,6.5
2012Dec,6.7
2012Nov,6.3
2012Oct,6.0
2012Sep,5.3
2012Aug,4.8
2012Jul,4.7
2012Jun,3.5
2012May,3.3
2012Apr,2.3
2012Mar,2.7
2012Feb,2.3
2012Jan,2.2
2011Dec,1.8
2011Nov,2.1
2011Oct,2.0
2011Sep,1.9
2011Aug,1.7
2011Jul,1.2
2011Jun,1.3
2011May,1.4
2011Apr,1.7
2011Mar,3.0
2011Feb,3.1
2011Jan,3.5
2010Dec,4.4
2010Nov,4.7
2010Oct,5.1
2010Sep,6.1
2010Aug,7.7
2010Jul,8.2
2010Jun,9.4
2010May,10.2
2010Apr,10.5
2010Mar,10.9
2010Feb,11.2
2010Jan,11.7
2009Dec,12.3
2009Nov,12.4
2009Oct,11.7
2009Sep,12.8
2009Aug,13.1
2009Jul,11.9
2009Jun,9.6
2009May,8.4
2009Apr,8.3
2009Mar,6.2
2009Feb,6.1
2009Jan,5.0
2008Dec,3.5
2008Nov,2.4
2008Oct,3.3
2008Sep,1.2
2008Aug,0.3
2008Jul,0.3
2008Jun,1.8
2008May,2.2
2008Apr,2.6
2008Mar,3.2
2008Feb,3.4
2008Jan,4.2
2007Dec,3.9
2007Nov,6.2
2007Oct,6.4
2007Sep,6.5
2007Aug,6.5
2007Jul,7.2
2007Jun,6.2
2007May,5.9
2007Apr,6.0
2007Mar,7.1
2007Feb,6.9
2007Jan,7.0
2006Dec,8.0
